l4_txn_coredataset.send_bank_ctry_code,l4_txn_coredataset.bene_bank_ctry_code,txn_count
NULL,NULL,137723
NULL,DZ,2262
AG,JO,4
AM,DO,13
AO,BO,10
CG,SL,1
CL,NL,2295
CM,ML,3
CW,CL,53
CY,AL,83
DJ,TZ,21
DK,SZ,5
DZ,DZ,679112
GA,GW,6
GE,CW,26
HK,BF,121
ID,MT,202
IE,LT,50690
IL,ET,1053
MM,VN,117
MO,TN,9
MX,KN,25
MZ,IN,10081
NA,CN,108
PA,LK,78
PE,HK,9279
QA,PY,164
RO,GH,85
RS,CH,1272
SG,SV,512
SN,LV,13
TL,SE,1
TR,ME,180
TT,KE,84
TZ,EE,47
US,PS,27707
ZA,UM,1
ZM,IM,3195
AG,JP,45
CW,CM,6
CY,AM,690
GW,UG,11
GY,SG,34
HK,BG,816
ID,MU,559
IE,LU,94129
IN,CU,9
JM,ID,73
JO,GD,5
KR,HR,234
KW,CR,98
KY,AR,64
LR,MA,166
MU,NO,146
MV,MO,2
MY,JO,2145
NA,CO,7
PL,AL,273
RO,GI,36
SM,MW,3
TO,PF,1
US,PT,53821
UZ,IT,70
ZM,IN,8259
CD,VN,41
CF,TN,4
CG,SN,58
CO,KN,2
CR,HN,3587
CW,CN,366
ES,PK,3478
FR,UY,683
GE,CY,1464
HK,BH,742
ID,MV,47
IE,LV,54010
IN,CV,44
JM,IE,738
JO,GE,345
KE,US,114823
KH,RS,4
MU,NP,326
MY,JP,48255
PK,BM,14
PL,AM,738
SG,SX,2
SM,MX,12
TJ,UG,2
TL,SG,130
TR,MG,128
TZ,EG,551
VC,AU,1
XK,BR,3
YE,MA,14
AE,LR,735
AF,KR,722
AO,BR,1960
BA,UA,95
BE,QA,464
BF,PA,5
BH,NA,16
BI,MA,51
BS,CA,874
CH,RO,17782
CL,NO,227
CM,MO,36
CV,DO,6
CW,CO,981
CY,AO,24
ES,PL,26338
FR,UZ,97
GE,CZ,1294
GG,AZ,5
HK,BI,29
ID,MW,11
IN,CW,109
KR,HT,94
KY,AT,102
LI,VC,4
LR,MC,43
PE,HN,334
PK,BN,12
PL,AN,20
SE,UY,944
TO,PH,13
TT,KH,4
AE,LS,20
AL,ES,197
AO,BS,5
BJ,LB,382
BO,GB,1311
CL,NP,41
ES,PM,25
